target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.9405046000611,31.9405046000611,31.9405046000611,space,3.75656490004621,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,space,1.45770570007153,38.2584458000492,38.2584458000492,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,39.2918888998684,41.2917205998674,43.3244938000571,0.0341757000423968,43.3244938000571,space,41.1080634000245,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,0.125925925925926,0.385185185185185,0,0,0,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,13,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,84.4762822000775,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,neutral,86.5454104000237,86.5454104000237,86.5454104000237,86.5454104000237,87.5101167999674,87.5763657998759,k,k,1,1.00119460001588,88.5430852000136,88.5430852000136,88.5430852000136,88.5430852000136,88.5430852000136,88.5430852000136,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,11,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,positive,positive,88.5430852000136,88.5430852000136,88.5430852000136,88.5430852000136,89.5430530000012,89.5767147999723,j,j,1,1.1484842998907,90.6934920998756,90.6934920998756,90.6934920998756,90.6934920998756,90.6934920998756,90.6934920998756,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,2,2,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,positive,positive,90.6934920998756,90.6934920998756,90.6934920998756,90.6934920998756,91.6921627998818,91.7272280000616,j,j,1,1.09764940012246,92.7938117999583,92.7938117999583,92.7938117999583,92.7938117999583,92.7938117999583,92.7938117999583,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,3,3,4,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,positive,neutral,92.7938117999583,92.7938117999583,92.7938117999583,92.7938117999583,93.7599752999377,93.8269762999844,k,k,1,0.933078700210899,94.7271579999942,94.7271579999942,94.7271579999942,94.7271579999942,94.7271579999942,94.7271579999942,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,4,4,16,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,2,2,2,negative,neutral,94.7271579999942,94.7271579999942,94.7271579999942,94.7271579999942,95.6951458998956,95.7615380999632,k,k,1,1.9445005999878,97.677335599903,97.677335599903,97.677335599903,97.677335599903,97.677335599903,97.677335599903,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,5,5,8,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,neutral,positive,97.677335599903,97.677335599903,97.677335599903,97.677335599903,98.6441376998555,98.7104316998739,j,j,1,0.965794099960476,99.6445476000663,99.6445476000663,99.6445476000663,99.6445476000663,99.6445476000663,99.6445476000663,201,2023-08-15_11h37.12.445,Main,2023.1.2,None
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,main,1,1,1,positive,negative,99.6445476000663,99.6445476000663,99.6445476000663,99.6445476000663,100.610924300039,100.676284000045,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,
