target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,image_8_stopped,start_wait_started,start_wait_stopped,key_resp_9_keys,key_resp_9_rt,key_resp_9_started,key_resp_9_stopped,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_4_stopped,image_5_started,image_5_stopped,image_6_started,image_6_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,image_7_started,image_7_stopped,contineu_img_started,contineu_img_stopped,key_resp_8_keys,key_resp_8_rt,key_resp_8_started,key_resp_8_stopped,id_,date,expName,psychopyVersion,frameRate
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,13,13,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,1.20846400002483,240.068502800073,241.085032400093,241.017596699996,None,240.068502800073,None,240.068502800073,None,240.068502800073,None,242.253848770075,None,242.253848770075,None,242.253848770075,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,14,14,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,1.04554040008225,242.279189200024,243.302958799992,243.236183500034,None,242.279189200024,None,242.279189200024,None,242.279189200024,None,244.302404570067,None,244.302404570067,None,244.302404570067,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,15,15,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,1.09673280001152,244.304348000092,245.335395800066,245.268036400084,None,244.304348000092,None,244.304348000092,None,244.304348000092,None,246.401474170061,None,246.401474170061,None,246.401474170061,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,16,16,5,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,positive,j,j,1,1.20009840000421,246.401583200088,247.403006099979,247.369712000014,None,246.401583200088,None,246.401583200088,None,246.401583200088,None,248.602035569982,None,248.602035569982,None,248.602035569982,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,17,17,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,l,l,1,1.13364279991947,248.602089800057,249.634376300033,249.601020800066,None,248.602089800057,None,248.602089800057,None,248.602089800057,None,250.736633970076,None,250.736633970076,None,250.736633970076,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,0,18,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,negative,negative,l,l,1,1.37123679998331,250.755357700051,251.787774400087,251.72009279998,None,250.755357700051,None,250.755357700051,None,250.755357700051,None,253.109554470074,None,253.109554470074,None,253.109554470074,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,19,16,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,neutral,k,k,1,1.98941130004823,253.127468900057,254.136863299995,254.103357700049,None,253.127468900057,None,253.127468900057,None,253.127468900057,None,256.102806970035,None,256.102806970035,None,256.102806970035,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,2,20,6,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,negative,l,l,1,1.19542650005314,256.104060300044,257.136659300071,257.103117900086,None,256.104060300044,None,256.104060300044,None,256.104060300044,None,258.302075370005,None,258.302075370005,None,258.302075370005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,3,21,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,neutral,k,k,1,1.16869459999725,258.30264010001,259.335366000072,259.268353200052,None,258.30264010001,None,258.30264010001,None,258.30264010001,None,260.469110470056,None,260.469110470056,None,260.469110470056,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,4,22,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,positive,j,j,1,1.34592659992632,260.489613900078,261.519257200067,261.452810400049,None,260.489613900078,None,260.489613900078,None,260.489613900078,None,262.82003877,None,262.82003877,None,262.82003877,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,5,23,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,positive,j,j,1,0.996659999946132,262.81990370003,263.818491599988,263.785903500044,None,262.81990370003,None,262.81990370003,None,262.81990370003,None,264.819086370082,None,264.819086370082,None,264.819086370082,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,6,24,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,neutral,k,k,1,1.19774600001983,264.820102700032,265.820379500045,265.786802100018,None,264.820102700032,None,264.820102700032,None,264.820102700032,None,267.019623070047,None,267.019623070047,None,267.019623070047,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,7,25,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,l,l,1,0.99961479997728,267.021207000013,268.020937200054,267.987480400014,None,267.021207000013,None,267.021207000013,None,267.021207000013,None,269.020059569995,None,269.020059569995,None,269.020059569995,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,8,26,12,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,neutral,negative,l,l,1,1.26610140001867,269.020456600003,270.020454999991,269.987283700029,None,269.020456600003,None,269.020456600003,None,269.020456600003,None,271.286880170018,None,271.286880170018,None,271.286880170018,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,negative,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,9,27,0,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,negative,l,l,1,1.03031770000234,271.287864500075,272.288048200076,272.254417999997,None,271.287864500075,None,271.287864500075,None,271.287864500075,None,273.320508470084,None,273.320508470084,None,273.320508470084,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,10,28,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,j,k,0,1.53031900001224,273.321164900088,274.353088300093,274.285851799999,None,273.321164900088,None,273.321164900088,None,273.321164900088,None,275.853573300061,None,275.853573300061,None,275.853573300061,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,11,29,13,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,neutral,k,k,1,1.10710439994,276.852984099998,277.854342999985,277.820984799997,None,276.852984099998,None,276.852984099998,None,276.852984099998,None,278.953965969989,None,278.953965969989,None,278.953965969989,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,12,30,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,1.19460429996252,278.955589600024,279.985627099988,279.952616600087,None,278.955589600024,None,278.955589600024,None,278.955589600024,None,281.154021870019,None,281.154021870019,None,281.154021870019,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,13,31,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,negative,l,l,1,1.3334470000118,281.154373000027,282.154176100041,282.120653900085,None,281.154373000027,None,281.154373000027,None,281.154373000027,None,283.48652617007,None,283.48652617007,None,283.48652617007,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,14,32,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,neutral,k,k,1,1.39717729995027,283.486355600064,284.486955899978,284.486955899978,None,283.486355600064,None,283.486355600064,None,283.486355600064,None,285.887179070059,None,285.887179070059,None,285.887179070059,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,negative,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,15,33,5,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,negative,positive,j,j,1,2.09936370002106,285.888176499982,286.888491300051,286.85555550002,None,285.888176499982,None,285.888176499982,None,285.888176499982,None,288.988445000025,None,288.988445000025,None,288.988445000025,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,16,34,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,positive,positive,j,j,1,1.24056700000074,290.020495100063,291.021415500087,290.988004000043,None,290.020495100063,None,290.020495100063,None,290.020495100063,None,292.253685869998,None,292.253685869998,None,292.253685869998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,negative,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,17,35,14,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,positive,j,j,1,1.06311810004991,292.255686299992,293.287337300018,293.253956400091,None,292.255686299992,None,292.255686299992,None,292.255686299992,None,294.320342669985,None,294.320342669985,None,294.320342669985,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,0,36,1,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,neutral,k,k,1,1.06961600005161,294.321367900004,295.35428119998,295.287254700088,None,294.321367900004,None,294.321367900004,None,294.321367900004,None,296.389995670086,None,296.389995670086,None,296.389995670086,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,positive,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,1,37,2,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,positive,j,j,1,1.41221899993252,296.423715400044,297.456160800066,297.389008500031,None,296.423715400044,None,296.423715400044,None,296.423715400044,None,298.805522970064,None,298.805522970064,None,298.805522970064,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,2,38,7,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,negative,neutral,k,k,1,1.26578699995298,298.805973900016,299.805664999993,299.772302100086,None,298.805973900016,None,298.805973900016,None,298.805973900016,None,301.074277370027,None,301.074277370027,None,301.074277370027,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,3,39,13,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,neutral,k,k,1,1.19680730008986,301.075463599991,302.106404900085,302.039669100079,None,301.075463599991,None,301.075463599991,None,301.075463599991,None,303.272075569979,None,303.272075569979,None,303.272075569979,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,4,40,17,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,neutral,positive,j,j,1,1.62737479992211,303.272854999988,304.304983400041,304.270863500074,None,303.272854999988,None,303.272854999988,None,303.272854999988,None,305.904417370004,None,305.904417370004,None,305.904417370004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,positive,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,5,41,15,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,negative,l,l,1,1.26564809994306,305.904983600019,306.93733970006,306.870399100007,None,305.904983600019,None,305.904983600019,None,305.904983600019,None,308.170933370036,None,308.170933370036,None,308.170933370036,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,6,42,8,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,neutral,positive,j,j,1,1.13000159990042,308.172954700072,309.173221600009,309.173221600009,None,308.172954700072,None,308.172954700072,None,308.172954700072,None,310.305607870012,None,310.305607870012,None,310.305607870012,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,7,43,3,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,neutral,negative,l,l,1,1.26700389990583,310.306948199985,311.307871400029,311.274679900031,None,310.306948199985,None,310.306948199985,None,310.306948199985,None,312.573325269995,None,312.573325269995,None,312.573325269995,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,positive,1,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,8,44,6,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,1,positive,negative,l,l,1,1.49497060000431,312.575489800074,313.604557499988,313.571770700044,None,312.575489800074,None,312.575489800074,None,312.575489800074,None,315.071184069989,None,315.071184069989,None,315.071184069989,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,9,45,10,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,2,neutral,neutral,k,k,1,1.03254030004609,315.072208800004,316.074896399979,316.074896399979,None,315.072208800004,None,315.072208800004,None,315.072208800004,None,317.107774370024,None,317.107774370024,None,317.107774370024,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,10,46,12,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,neutral,negative,l,l,1,1.29769919998944,317.106713199988,318.139359600027,318.072424000013,None,317.106713199988,None,317.106713199988,None,317.106713199988,None,319.40545787001,None,319.40545787001,None,319.40545787001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
negative,negative,2,j,l,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,11,47,9,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,negative,negative,l,l,1,1.36530669999775,319.407166799996,320.43826710002,320.404589800048,None,319.407166799996,None,319.407166799996,None,319.407166799996,None,321.773329669982,None,321.773329669982,None,321.773329669982,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,12,48,4,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,2,2,1,positive,neutral,k,k,1,1.03098490007687,321.795002600062,322.806456700084,322.773391800001,None,321.795002600062,None,321.795002600062,None,321.795002600062,None,323.807474870025,None,323.807474870025,None,323.807474870025,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
positive,positive,2,l,j,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,2,13,49,11,NaN,,NaN,,,NaN,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,main,1,1,2,positive,positive,j,j,1,1.31324759998824,323.808110999991,324.828383899992,324.794266800047,None,323.808110999991,None,323.808110999991,None,323.808110999991,None,326.123261970026,None,326.123261970026,None,326.123261970026,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,NaN,NaN,,403,2023-08-15_14h51.45.687,Main,2022.1.1,30.2250496713769
